File,MRR,Total_Tokens,Predicted_Tokens
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/rules/17026.java.tokens,0.6943812556869882,447,158
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/rules/17014.java.tokens,0.5459837781266352,490,183
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/rules/17024.java.tokens,0.7473705501618123,515,207
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/rules/17027.java.tokens,0.8666666666666667,85,31
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/rules/17018.java.tokens,0.5833333333333334,208,80
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/rules/17017.java.tokens,0.84375,54,25
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/rules/17025.java.tokens,0.7699004975124378,174,68
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/rules/17015.java.tokens,0.5040117416829746,236,74
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/rules/17013.java.tokens,0.7518115942028986,242,93
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/rules/17023.java.tokens,0.8611111111111112,42,19
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/rules/17021.java.tokens,0.48087627745161987,703,220
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/16921.java.tokens,0.85,58,26
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/16923.java.tokens,0.559949759720402,660,219
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/16920.java.tokens,0.85,58,26
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/theories/16942.java.tokens,0.8854166666666666,104,41
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/theories/16950.java.tokens,0.775,70,31
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/theories/16946.java.tokens,0.9230769230769231,36,14
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/theories/16949.java.tokens,0.6133807887416134,1447,486
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/theories/16944.java.tokens,0.8223684210526315,86,39
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/theories/16948.java.tokens,0.6524193548387097,207,63
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/theories/16947.java.tokens,0.8399122807017544,89,39
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/theories/16945.java.tokens,0.5871394854237991,887,307
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/theories/16943.java.tokens,0.8854166666666666,104,41
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/theories/internal/16953.java.tokens,0.8675213675213675,102,40
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/theories/internal/16951.java.tokens,0.6495275050153099,1234,452
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/theories/internal/16955.java.tokens,0.7006734006734006,285,100
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/theories/internal/16956.java.tokens,0.762468112244898,570,225
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/theories/internal/16954.java.tokens,0.8305555555555556,157,61
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/theories/internal/16952.java.tokens,0.5581492794486216,860,305
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/theories/suppliers/16957.java.tokens,0.7628205128205128,89,40
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/theories/suppliers/16958.java.tokens,0.8040935672514621,142,58
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/max/16936.java.tokens,0.5847258829731155,787,272
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/max/16937.java.tokens,0.5512815042384934,758,280
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/max/16935.java.tokens,0.8181818181818182,37,12
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/runners/16941.java.tokens,0.6707650273224043,191,62
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/categories/16929.java.tokens,0.5384378335571395,1543,462
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/categories/16934.java.tokens,0.7970588235294117,164,52
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/categories/16932.java.tokens,0.7011904761904761,316,123
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/categories/16930.java.tokens,0.7722222222222223,73,31
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/categories/16933.java.tokens,0.7954248366013071,164,52
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/categories/16931.java.tokens,0.6738095238095237,198,71
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/16928.java.tokens,0.5888480392156863,369,137
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/results/16938.java.tokens,0.8724489795918368,136,50
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/results/16940.java.tokens,0.649084249084249,270,92
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/experimental/results/16939.java.tokens,0.6880081300813008,229,83
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/16922.java.tokens,0.8611111111111112,64,28
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/16965.java.tokens,0.7692307692307693,32,14
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/16968.java.tokens,0.747703081232493,529,171
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/16967.java.tokens,0.7368421052631579,50,20
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/builders/16973.java.tokens,0.7991452991452992,103,40
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/builders/16971.java.tokens,0.6148427260812581,321,110
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/builders/16977.java.tokens,0.7612612612612613,116,38
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/builders/16975.java.tokens,0.8397435897435896,67,27
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/builders/16976.java.tokens,0.9,54,21
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/builders/16974.java.tokens,0.7686609686609687,106,40
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/builders/16972.java.tokens,0.8422619047619048,82,29
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/builders/16970.java.tokens,0.4857142857142857,227,71
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/16961.java.tokens,0.7,62,21
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/16963.java.tokens,0.8333333333333334,43,19
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/16960.java.tokens,0.5932432432432432,339,112
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/16962.java.tokens,0.6273576097105509,424,154
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/16964.java.tokens,0.5793831168831169,113,45
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/matchers/16978.java.tokens,0.7412774725274726,261,105
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/matchers/16981.java.tokens,0.5639227642276423,261,83
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/matchers/16979.java.tokens,0.7708333333333333,195,75
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/matchers/16980.java.tokens,0.8087899543378995,188,74
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/runners/16987.java.tokens,0.655724986623863,520,179
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/runners/16988.java.tokens,0.8194444444444445,33,13
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/runners/16995.java.tokens,0.669446399249355,617,204
