File,MRR,Total_Tokens,Predicted_Tokens
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/internal/16739.java.tokens,0.8333333333333334,28,28
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/internal/outcomes/16741.java.tokens,0.8421052631578947,20,20
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/internal/outcomes/16740.java.tokens,0.8235294117647058,18,18
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/internal/outcomes/16742.java.tokens,0.84375,33,33
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/16694.java.tokens,0.6666666666666666,7,7
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/idea/16730.java.tokens,0.625,9,9
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/idea/16732.java.tokens,0.679047619047619,36,36
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/idea/16734.java.tokens,0.8333333333333334,28,28
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/idea/16724.java.tokens,0.625,21,21
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/idea/16726.java.tokens,0.6666666666666666,16,16
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/idea/16729.java.tokens,0.6628571428571429,51,51
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/idea/16736.java.tokens,1.0,5,5
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/idea/16725.java.tokens,0.6673076923076923,40,40
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/idea/16735.java.tokens,0.7777777777777778,19,19
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/idea/16728.java.tokens,0.8571428571428571,8,8
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/idea/16727.java.tokens,0.8571428571428571,8,8
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/idea/16731.java.tokens,0.7391304347826086,24,24
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/idea/16733.java.tokens,0.9411764705882353,18,18
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/idea/16723.java.tokens,0.8333333333333334,7,7
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/16701.java.tokens,0.7361111111111112,13,13
